shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M010074,40.821062,-73.935851,10001
M010074,40.820462,-73.936309,10002
M010074,40.820335,-73.936402,10003
M010074,40.820335,-73.936402,20001
M010074,40.820312,-73.936419,20002
M010074,40.819792,-73.936799,20003
M010074,40.819622,-73.936919,20004
M010074,40.819442,-73.937049,20005
M010074,40.819162,-73.937249,20006
M010074,40.818522,-73.937709,20007
M010074,40.818217,-73.937934,20008
M010074,40.818217,-73.937934,30001
M010074,40.817912,-73.938159,30002
M010074,40.817572,-73.938399,30003
M010074,40.817292,-73.938609,30004
M010074,40.816692,-73.939039,30005
M010074,40.816632,-73.938899,30006
M010074,40.816526,-73.938642,30007
M010074,40.816526,-73.938642,40001
M010074,40.816002,-73.937369,40002
M010074,40.815752,-73.936769,40003
M010074,40.815322,-73.935749,40004
M010074,40.815155,-73.935867,40005
M010074,40.815155,-73.935867,50001
M010074,40.814842,-73.936089,50002
M010074,40.814772,-73.936139,50003
M010074,40.814662,-73.936239,50004
M010074,40.814032,-73.936689,50005
M010074,40.813746,-73.936896,50006
M010074,40.813746,-73.936896,60001
M010074,40.813412,-73.937139,60002
M010074,40.812742,-73.937639,60003
M010074,40.812322,-73.937942,60004
M010074,40.812322,-73.937942,70001
M010074,40.812272,-73.937979,70002
M010074,40.811742,-73.938379,70003
M010074,40.811192,-73.938769,70004
M010074,40.810852,-73.939019,70005
M010074,40.810589,-73.939209,70006
M010074,40.810589,-73.939209,80001
M010074,40.810202,-73.939489,80002
M010074,40.809572,-73.939949,80003
M010074,40.809316,-73.940135,80004
M010074,40.809316,-73.940135,90001
M010074,40.809242,-73.940189,90002
M010074,40.808952,-73.940399,90003
M010074,40.808322,-73.940859,90004
M010074,40.808044,-73.941068,90005
M010074,40.808044,-73.941068,100001
M010074,40.807712,-73.941319,100002
M010074,40.807082,-73.941769,100003
M010074,40.806422,-73.942249,100004
M010074,40.806105,-73.942482,100005
M010074,40.806105,-73.942482,110001
M010074,40.805742,-73.942749,110002
M010074,40.805802,-73.942889,110003
M010074,40.805842,-73.942999,110004
M010074,40.805902,-73.943139,110005
M010074,40.806182,-73.943819,110006
M010074,40.806392,-73.944319,110007
M010074,40.806146,-73.944499,110008
